Date,Instagram reach
2023-04-01T00:00:00,7620
2023-04-02T00:00:00,12859
2023-04-03T00:00:00,16008
2023-04-04T00:00:00,24349
2023-04-05T00:00:00,20532
2023-04-06T00:00:00,19408
2023-04-07T00:00:00,14941
2023-04-08T00:00:00,17263
2023-04-09T00:00:00,20234
2023-04-10T00:00:00,30471
2023-04-11T00:00:00,39774
2023-04-12T00:00:00,43550
2023-04-13T00:00:00,42342
2023-04-14T00:00:00,55477
2023-04-15T00:00:00,54391
2023-04-16T00:00:00,44108
2023-04-17T00:00:00,49089
2023-04-18T00:00:00,42790
2023-04-19T00:00:00,49940
2023-04-20T00:00:00,45763
2023-04-21T00:00:00,38457
2023-04-22T00:00:00,45197
2023-04-23T00:00:00,42367
2023-04-24T00:00:00,36076
2023-04-25T00:00:00,34467
2023-04-26T00:00:00,36772
2023-04-27T00:00:00,35349
2023-04-28T00:00:00,27926
2023-04-29T00:00:00,26184
2023-04-30T00:00:00,26410
2023-05-01T00:00:00,32637
2023-05-02T00:00:00,42204
2023-05-03T00:00:00,47632
2023-05-04T00:00:00,35793
2023-05-05T00:00:00,35945
2023-05-06T00:00:00,35574
2023-05-07T00:00:00,26940
2023-05-08T00:00:00,27495
2023-05-09T00:00:00,19660
2023-05-10T00:00:00,24138
2023-05-11T00:00:00,23391
2023-05-12T00:00:00,16748
2023-05-13T00:00:00,17489
2023-05-14T00:00:00,18171
2023-05-15T00:00:00,29682
2023-05-16T00:00:00,33085
2023-05-17T00:00:00,50797
2023-05-18T00:00:00,54392
2023-05-19T00:00:00,35649
2023-05-20T00:00:00,33654
2023-05-21T00:00:00,46443
2023-05-22T00:00:00,50465
2023-05-23T00:00:00,51263
2023-05-24T00:00:00,55647
2023-05-25T00:00:00,68448
2023-05-26T00:00:00,73815
2023-05-27T00:00:00,74077
2023-05-28T00:00:00,67922
2023-05-29T00:00:00,80600
2023-05-30T00:00:00,73835
2023-05-31T00:00:00,83221
2023-06-01T00:00:00,77190
2023-06-02T00:00:00,83630
2023-06-03T00:00:00,65133
2023-06-04T00:00:00,72761
2023-06-05T00:00:00,67778
2023-06-06T00:00:00,54560
2023-06-07T00:00:00,32643
2023-06-08T00:00:00,24889
2023-06-09T00:00:00,27046
2023-06-10T00:00:00,55433
2023-06-11T00:00:00,64168
2023-06-12T00:00:00,69366
2023-06-13T00:00:00,59358
2023-06-14T00:00:00,46011
2023-06-15T00:00:00,38286
2023-06-16T00:00:00,89665
2023-06-17T00:00:00,133807
2023-06-18T00:00:00,103309
2023-06-19T00:00:00,112461
2023-06-20T00:00:00,114870
2023-06-21T00:00:00,115782
2023-06-22T00:00:00,110319
2023-06-23T00:00:00,51336
2023-06-24T00:00:00,54666
2023-06-25T00:00:00,62637
2023-06-26T00:00:00,66525
2023-06-27T00:00:00,61001
2023-06-28T00:00:00,73659
2023-06-29T00:00:00,59505
2023-06-30T00:00:00,60504
2023-07-01T00:00:00,69593
2023-07-02T00:00:00,76763
2023-07-03T00:00:00,63917
2023-07-04T00:00:00,60591
2023-07-05T00:00:00,66350
2023-07-06T00:00:00,62711
2023-07-07T00:00:00,70608
2023-07-08T00:00:00,61222
2023-07-09T00:00:00,51758
2023-07-10T00:00:00,62099
2023-07-11T00:00:00,69686
2023-07-12T00:00:00,78896
2023-07-13T00:00:00,68331
2023-07-14T00:00:00,59660
2023-07-15T00:00:00,58746
2023-07-16T00:00:00,59599
2023-07-17T00:00:00,110544
2023-07-18T00:00:00,117070
2023-07-19T00:00:00,122530
2023-07-20T00:00:00,81669
2023-07-21T00:00:00,74793
2023-07-22T00:00:00,82299
2023-07-23T00:00:00,81336
2023-07-24T00:00:00,70291
2023-07-25T00:00:00,77767
2023-07-26T00:00:00,62322
2023-07-27T00:00:00,62659
2023-07-28T00:00:00,69659
2023-07-29T00:00:00,57778
2023-07-30T00:00:00,55289
2023-07-31T00:00:00,63183
2023-08-01T00:00:00,68727
2023-08-02T00:00:00,74334
2023-08-03T00:00:00,72809
2023-08-04T00:00:00,53647
2023-08-05T00:00:00,89747
2023-08-06T00:00:00,91473
2023-08-07T00:00:00,88629
2023-08-08T00:00:00,103756
2023-08-09T00:00:00,134856
2023-08-10T00:00:00,123226
2023-08-11T00:00:00,134762
2023-08-12T00:00:00,118660
2023-08-13T00:00:00,29813
2023-08-14T00:00:00,22671
2023-08-15T00:00:00,18341
2023-08-16T00:00:00,14616
2023-08-17T00:00:00,11427
2023-08-18T00:00:00,16703
2023-08-19T00:00:00,10989
2023-08-20T00:00:00,17251
2023-08-21T00:00:00,20968
2023-08-22T00:00:00,13249
2023-08-23T00:00:00,14045
2023-08-24T00:00:00,13598
2023-08-25T00:00:00,17944
2023-08-26T00:00:00,86559
2023-08-27T00:00:00,114821
2023-08-28T00:00:00,89385
2023-08-29T00:00:00,87489
2023-08-30T00:00:00,106211
2023-08-31T00:00:00,92920
2023-09-01T00:00:00,84745
2023-09-02T00:00:00,86010
2023-09-03T00:00:00,105478
2023-09-04T00:00:00,129544
2023-09-05T00:00:00,120165
2023-09-06T00:00:00,100047
2023-09-07T00:00:00,92885
2023-09-08T00:00:00,120963
2023-09-09T00:00:00,107493
2023-09-10T00:00:00,97374
2023-09-11T00:00:00,116321
2023-09-12T00:00:00,105488
2023-09-13T00:00:00,87666
2023-09-14T00:00:00,87047
2023-09-15T00:00:00,78212
2023-09-16T00:00:00,77807
2023-09-17T00:00:00,82448
2023-09-18T00:00:00,133156
2023-09-19T00:00:00,161998
2023-09-20T00:00:00,142298
2023-09-21T00:00:00,108106
2023-09-22T00:00:00,68922
2023-09-23T00:00:00,54147
2023-09-24T00:00:00,72691
2023-09-25T00:00:00,72354
2023-09-26T00:00:00,58779
2023-09-27T00:00:00,73231
2023-09-28T00:00:00,53697
2023-09-29T00:00:00,100440
2023-09-30T00:00:00,61940
2023-10-01T00:00:00,100277
2023-10-02T00:00:00,80560
2023-10-03T00:00:00,83699
2023-10-04T00:00:00,99136
2023-10-05T00:00:00,118015
2023-10-06T00:00:00,94388
2023-10-07T00:00:00,71084
2023-10-08T00:00:00,63193
2023-10-09T00:00:00,64780
2023-10-10T00:00:00,48227
2023-10-11T00:00:00,52129
2023-10-12T00:00:00,26257
2023-10-13T00:00:00,19469
2023-10-14T00:00:00,22669
2023-10-15T00:00:00,27502
2023-10-16T00:00:00,61623
2023-10-17T00:00:00,75694
2023-10-18T00:00:00,33518
2023-10-19T00:00:00,55984
2023-10-20T00:00:00,63264
2023-10-21T00:00:00,19509
2023-10-22T00:00:00,20633
2023-10-23T00:00:00,24122
2023-10-24T00:00:00,16745
2023-10-25T00:00:00,23674
2023-10-26T00:00:00,38667
2023-10-27T00:00:00,48504
2023-10-28T00:00:00,34889
2023-10-29T00:00:00,40588
2023-10-30T00:00:00,74032
2023-10-31T00:00:00,66457
2023-11-01T00:00:00,61773
2023-11-02T00:00:00,45842
2023-11-03T00:00:00,32075
2023-11-04T00:00:00,32016
2023-11-05T00:00:00,39436
2023-11-06T00:00:00,84987
2023-11-07T00:00:00,50200
2023-11-08T00:00:00,62769
2023-11-09T00:00:00,63688
2023-11-10T00:00:00,63829
2023-11-11T00:00:00,44754
2023-11-12T00:00:00,37796
2023-11-13T00:00:00,43987
2023-11-14T00:00:00,45479
2023-11-15T00:00:00,40908
2023-11-16T00:00:00,49767
2023-11-17T00:00:00,56708
2023-11-18T00:00:00,91287
2023-11-19T00:00:00,54146
2023-11-20T00:00:00,58121
2023-11-21T00:00:00,61232
2023-11-22T00:00:00,63271
2023-11-23T00:00:00,70836
2023-11-24T00:00:00,64517
